"title","channelName","viewCount","likes","date","duration","type","url","commentsCount"
"Machine Learning in 2024 – Beginner's Course","freeCodeCamp.org","422942","10000","2024-02-29T15:28:50.000Z","04:19:32","video","https://www.youtube.com/watch?v=bmmQA8A-yUA","200"
"Scikit-learn Crash Course - Machine Learning Library for Python","freeCodeCamp.org","723713","15000","2021-04-07T15:20:39.000Z","02:09:22","video","https://www.youtube.com/watch?v=0B5eIE_1vpU","338"
"Large Language Models explained briefly","3Blue1Brown","6876654","190000","2024-11-20T15:07:15.000Z","00:07:58","video","https://www.youtube.com/watch?v=LPZh9BOjkQs","2685"
"Lecture 1 | Machine Learning (Stanford)","Stanford","2659547","16000","2008-07-23T01:58:21.000Z","01:08:40","video","https://www.youtube.com/watch?v=UzxYlbK2c7E","766"
"Stanford CS229: Machine Learning - Linear Regression and Gradient Descent |  Lecture 2 (Autumn 2018)","Stanford Online","2016977","21000","2020-04-17T20:08:06.000Z","01:18:17","video","https://www.youtube.com/watch?v=4b4MUYve_U8","535"
"Stealing Baseball Signs with a Phone (Machine Learning)","Mark Rober","29729991","453000","2019-06-30T17:23:23.000Z","00:13:30","video","https://www.youtube.com/watch?v=PmlRbfSavbI","13939"
"Gradient descent, how neural networks learn | Deep Learning Chapter 2","3Blue1Brown","9365712","186000","2017-10-16T16:48:20.000Z","00:20:33","video","https://www.youtube.com/watch?v=IHZwWFHWa-w&t=997s","3592"
"What is Machine Learning? | Machine Learning Basics | Machine Learning Tutorial | Edureka","edureka!","370590","4800","2018-03-16T14:31:00.000Z","00:17:20","video","https://www.youtube.com/watch?v=Pj0neYUp9Tc","109"
"Machine Learning Foundations: Welcome to the Journey","Jon Krohn","302002","5100","2020-07-09T12:00:00.000Z","00:02:38","video","https://www.youtube.com/watch?v=Qc19jQWHdL0","162"
"Backpropagation, intuitively | Deep Learning Chapter 3","3Blue1Brown","6117606","106000","2017-11-03T14:03:37.000Z","00:12:47","video","https://www.youtube.com/watch?v=Ilg3gGewQ5U","1766"
"Physics Informed Machine Learning: High Level Overview of AI and ML in Science and Engineering","Steve Brunton","362496","9900","2024-02-16T11:00:27.000Z","00:47:27","video","https://www.youtube.com/watch?v=JoFW2uSd3Uo","233"
"What is Machine Learning? | 100 Days of Machine Learning","CampusX","2524144","27000","2021-03-13T16:15:53.000Z","00:20:00","video","https://www.youtube.com/watch?v=ZftI2fEz0Fw","1480"
"Machine Learning Course for Beginners","freeCodeCamp.org","2048972","57000","2021-08-30T13:23:10.000Z","09:52:19","video","https://www.youtube.com/watch?v=NWONeJKn6kc","1429"
